species	n_samples	n_observations	median_log2PTR	q1_log2PTR	q3_log2PTR	median_PTR	median_coverage	median_containment	median_windows	median_anchors	median_ori_confidence	clean_denture_median_log2PTR	unclean_denture_median_log2PTR	unclean_minus_clean_log2PTR	mannwhitney_p	mannwhitney_fdr_bh	median_relative_abundance_all_samples	median_nonzero_relative_abundance
Granulicatella_adiacens	15	15	1.451837573	1.01189838465	1.658585286	2.735562606	34.83801943	0.1024390244	18.0	324.0	0.998276337	0.8193901417	1.535453383	0.7160632412999999	0.026373626373626374	0.2989010989010989	0.0001379056746686	0.006937710796028
Pauljensenia_odontolytica_B	9	9	1.451199767	1.182123769	1.747158297	2.734353497	90.85	0.01913875598	19.0	485.0	0.9982542916	1.488749126	1.4265080935	-0.062241032500000015	0.9047619047619047	1.0	0.0	0.0003841103276216
Actinomyces_sp002999235	5	5	1.442194311	1.149742814	1.663477321	2.717338531	10.31984887	0.1808718282	22.0	1353.0	0.9970077035		1.442194311				0.0	0.0005123612261919
Actinomyces_israelii	10	10	1.43743603	1.09299096175	2.08598049825	2.70921401	3.7491281474999996	0.029245549590000003	34.0	2170.0	0.9926741531500001	1.5901291194999998	1.4183903165	-0.17173880299999977	0.9142857142857143	1.0	0.0	6.27892793409508e-05
Pauljensenia_sp001838165	6	6	1.434904948	0.86719236505	1.540128145	2.7043839619999996	5.1319388974999995	0.022772940385000003	14.5	593.5	0.974977335	2.898967469	1.401141481	-1.497825988			0.0	0.00063886491659375
Streptococcus_anginosus_C	7	7	1.431684578	1.1394777386500001	1.7967175355	2.697615214	6.038240668	0.1238938053	20.0	259.0	0.9523441684	1.82897722465	1.431684578	-0.39729264664999997			0.0	0.0007401627707086
Rothia_mucilaginosa_A	12	12	1.409683461	1.1031515680250001	1.63402103525	2.6571057590000002	2.7415774235	0.01203113942	7.5	359.0	0.8397777763500001	1.358634086	1.409683461	0.05104937500000006	0.6828282828282828	1.0	0.0	0.0010839531831304
Capnocytophaga_leadbetteri	9	9	1.408395197	1.080814789	1.948197513	2.654417306	15.5751852	0.06440677966	19.0	675.0	0.9989442242	1.948197513	1.3359596224999999	-0.6122378905000001			0.0	0.000365293274759
Streptococcus_gordonii	8	8	1.35843165615	0.8182695311	1.9709874195	2.6763014455	4.999349522	0.08688524589999999	9.5	220.0	0.9444410537000001	0.92564240435	2.109158628	1.1835162236499999			0.0271225924736714	0.0563711550919324
Prevotella_melaninogenica	5	5	1.342505015	0.3434559092	1.498828705	2.535912585	23.62958305	0.1440217391	79.0	268.0	0.9893653591		1.342505015				0.0	0.000939953196348
Prevotella_melaninogenica_A	5	5	1.328950051	1.276783727	1.493393777	2.512197783	4.083870453	0.03230148048	12.0	365.0	0.961846471	1.328950051	1.3850887520000001	0.05613870100000007			0.0	0.0002886436186986
Limosilactobacillus_fermentum	11	11	1.316640448	0.8592244938	1.4859449405	2.490853978	60.00576558	0.06995884774	27.0	404.0	0.9967388717	1.11333272735	1.316640448	0.20330772065000002	0.7878787878787878	1.0	0.0	0.0015448033585786
Eikenella_corrodens	5	5	1.315341981	0.926965913	1.330357013	2.488613146	14.63507225	0.1276995305	30.0	954.0	0.9968146558	1.691161333	0.926965913	-0.76419542			0.0	0.00079061478506825
Capnocytophaga_ochracea	5	5	1.315222451	1.096661833	1.629104754	2.488406968	7.022776713	0.03510758777	13.0	421.0	0.9506419882	0.7813109275	1.4721636025	0.690852675			0.0	0.00023515305269435
Pauljensenia_bouchesdurhonensis	5	5	1.30435318	1.194722779	1.335450801	2.469729744	7.182492285	0.02310061602	20.0	1552.0	0.9968070223	1.2495379795	1.335450801	0.08591282150000001			0.0	0.00018082760835164998
Saccharimonas_sp013333645	6	6	1.2987025795	1.0452691195000001	1.52089853875	2.47503741	7.9252896005	0.08403805495	26.5	786.5	0.9961402011		1.2987025795				0.0	0.0003278675699395
Veillonella_atypica	6	6	1.292446475	1.13037185725	2.00820574725	2.4502708665	89.4095876115	0.1267361111	24.5	402.0	0.98914485915	2.746623113	1.25466079	-1.491962323			0.0	0.00143027764722905
Lautropia_dentalis	6	6	1.2614326635	0.99935013595	1.51384895975	2.4326952244999998	39.4479900475	0.007596310363499999	14.5	1426.5	0.9933460634		1.2614326635				0.0	0.0005038192347876
Pauljensenia_sp902373545	8	8	1.2332510540000001	0.97823735345	1.74569663675	2.3510012495000003	9.706087966	0.049661986479999996	51.5	1027.5	0.99642639535	1.224885896	1.241616212	0.01673031600000008			0.0	0.0001355527692222788
